,timesteps,heading_error,change_distance,linear_velocity,angular_speed,closest_obstacle,reward
0,1,0.6640082029824117,0.16008610229230946,-0.0,0.0,1.0890377759933472,-0.8122624083681342
1,2,0.6640082029824117,0.0,-0.0,0.0,1.0882110595703125,-0.33200410149120585
2,3,1.211840814218727,0.0,-0.0,0.0,1.0882110595703125,-0.6059204071093635
3,4,1.17213529689874,0.07117134669320979,-0.0,0.0,1.0882110595703125,-0.7995816885289994
4,5,1.17213529689874,0.0,-0.0,0.0,1.0882110595703125,-0.58606764844937
5,6,1.17213529689874,0.0,-0.0,0.0,1.2970256805419922,-0.58606764844937
6,7,1.2782262369658053,0.0,0.24,0.25,1.2970256805419922,-0.5691131184829027
7,8,1.4880669339257782,-0.21844415275054097,0.24,0.25,1.2970256805419922,-0.01870100871126619
8,9,1.4880669339257782,0.0,0.24,0.25,1.1484425067901611,-0.6740334669628891
9,10,1.4880669339257782,0.0,-0.14,0.35,1.1484425067901611,-0.884033466962889
10,11,1.5768463729489937,-0.18423890011682698,-0.14,0.35,1.124298334121704,-0.3757064861240159
11,12,1.5768463729489937,0.0,-0.12,0.33,1.124298334121704,-0.9144231864744969
12,13,1.3511835232271365,-0.05437074441483558,-0.12,0.33,1.1209099292755127,-0.6384795283690616
13,14,1.5790885683865454,-0.0982575079106276,-0.1,0.31,1.1209099292755127,-0.60677176046139
14,15,1.5790885683865454,0.0,-0.1,0.31,0.8048410415649414,-1.274288695209735
15,16,1.0939497802753273,0.0,-0.28,0.49,0.8048410415649414,-1.157719301154126
16,17,1.1989398685421548,-0.017396036468829035,-0.28,0.49,0.8048410415649414,-1.1580262358810527
17,18,1.1989398685421548,0.0,-0.28,0.49,0.5292747020721436,-1.4042833467116898
18,19,1.5710195143806658,-0.004132694449142882,-0.4,0.62,0.5292747020721436,-1.6639250862835162
19,20,1.5710195143806658,0.0,-0.4,0.62,0.8592748045921326,-1.4586413718923366
20,21,1.5710195143806658,0.0,-0.5,0.72,0.8592748045921326,-1.5286413718923366
21,22,1.3228771344548491,0.0483364652252356,-0.5,0.72,0.8927033543586731,-1.5365058465609371
22,23,1.4793631820458568,-0.03832758149279547,-0.48,0.7,0.8927033543586731,-1.3407567302023478
23,24,1.4793631820458568,0.0,-0.48,0.7,1.5330088138580322,-1.1196815910229283
24,25,1.9988082574369281,0.0,-0.6,0.72,1.5330088138580322,-1.443404128718464
25,26,2.206732556151299,0.030587089890910413,-0.6,0.72,1.5738893747329712,-1.6391275477483807
26,27,2.384460104870187,-0.11346107943150585,-0.56,0.68,1.5738893747329712,-1.2678468141405759
27,28,2.384460104870187,0.0,-0.56,0.68,2.038713216781616,-1.6082300524350934
28,29,2.384460104870187,0.0,-0.7,0.72,2.038713216781616,-1.6862300524350935
29,30,2.1265991607063413,0.0975596384869113,-0.7,0.72,2.0711312294006348,-1.8499784958139045
30,31,2.3083056704753435,-0.10555571062889157,-0.68,0.7,2.0711312294006348,-1.317485703350997
31,32,2.3083056704753435,0.0,-0.68,0.7,2.214376449584961,-1.6341528352376717
32,33,2.111707795602779,0.0,-0.72,0.72,2.214376449584961,-1.5598538978013894
33,34,2.5998861634487938,-0.36644515727171134,-0.72,0.72,2.2217156887054443,-0.7046076099092629
34,35,2.782582396724255,-0.03500294238487456,-0.7,0.7,2.2217156887054443,-1.7762823712075038
35,36,2.782582396724255,0.0,-0.7,0.7,2.01912522315979,-1.8812911983621274
36,37,2.782582396724255,0.0,-0.72,0.72,2.01912522315979,-1.8952911983621272
37,38,2.855282026284224,-0.5194514125821099,-0.72,0.72,1.9732965230941772,-0.37328677539578226
38,39,2.604195573034139,-0.15068592191043084,-0.68,0.68,1.9732965230941772,-1.326040020785777
39,40,2.604195573034139,0.0,-0.68,0.68,1.4503337144851685,-1.7780977865170695
40,41,2.3161522261463876,0.0,-0.73,0.73,1.4503337144851685,-1.6690761130731937
41,42,2.708834683443696,-0.09341247084592963,-0.73,0.73,1.4237308502197266,-1.585179929184059
42,43,2.913388739871248,0.2780199276581361,-0.71,0.71,1.4237308502197266,-2.7877541529100323
43,44,2.913388739871248,0.0,-0.71,0.71,0.6540915966033936,-2.4123457294055486
44,45,2.913388739871248,0.0,-0.74,0.74,0.6540915966033936,-2.433345729405549
45,46,2.699163248428155,0.17382643949789278,-0.74,0.74,0.608974277973175,-52.88169258718128
